objectid,parentid,filename,format,title,tagline,subject,website,bookstorestatus,latitude,longitude,location,date,designer,source,color,material,size,damage,note
bookmark049,,bookmark025.jpg,image/jpeg,Powell's Books: Pride Month,Used and new books,,powells.com,Open,45.523228010602196,-122.68126927462653,"Portland, Oregon; West; Pacific",,,Erin Walden,,,,,
bookmark050,bookmark049,bookmark025_.jpg,image/jpeg,Powell's Books: Pride Month (Back),,,,,,,,,,,,,,,
bookmark051,,bookmark026.jpg,image/jpeg,Powell's Books: LGBTQ Fiction Before Stonewall,Used and new books,,powells.com,Open,45.523228010602196,-122.68126927462653,"Portland, Oregon; West; Pacific",,,Erin Walden,,,,,
bookmark052,bookmark051,bookmark026_.jpg,image/jpeg,Powell's Books: LGBTQ Fiction Before Stonewall (Back),,,,,,,,,,,,,,,
bookmark053,,bookmark027.jpg,image/jpeg,Lighthouse Bookshop,Scotland's Leading Political Bookshop,Queerness; Feminism; Antiracism; Environmentalism; Accesibility; Community Solidarity,lighthousebookshop.com,Open,55.94478928284109,-3.185477931230778,"Edinburgh, Scotland",,,Greta Skagerlind,,,,,
bookmark054,bookmark053,bookmark027_.jpg,image/jpeg,Lighthouse Bookshop (Back),,,,,,,,,,,,,,,
bookmark055,,bookmark028.jpg,image/jpeg,Cambridge University Press Bookshop,Books sold here since 1581,,cambridgebookshop.co.uk,Open,52.20581009853921,0.11800219612355564,"Cambridge, England",,,Kathryn Huang,,,,,
bookmark056,bookmark055,bookmark028_.jpg,image/jpeg,Cambridge University Press Bookshop (Back),,,,,,,,,,,,,,,
bookmark057,,bookmark029.jpg,image/jpeg,Persephone Books LTD: Dimanche and Other Stories,,,,Open,51.38516023191745,-2.361855030460636,"Bath, England",,,Kathryn Huang,,,,,
bookmark058,bookmark057,bookmark029_.jpg,image/jpeg,Persephone Books LTD: Dimanche and Other Stories (Back),,,,,,,,,,,,,,,
bookmark059,,bookmark030.jpg,image/jpeg,Persephone Books LTD: The Victorian Chaise-Longue,,,,Open,51.38516023191745,-2.361855030460636,"Bath, England",,,Kathryn Huang,,,,,
bookmark060,bookmark059,bookmark030_.jpg,image/jpeg,Persephone Books LTD: The Victorian Chaise-Longue (Back),,,,,,,,,,,,,,,
bookmark061,,bookmark031.jpg,image/jpeg,She said,Bookshop for female and queer authors,,www.shesaid.de,Open,52.491577090729386,13.423331361665815,"Berlin, Germany",,,Elisabeth Schifrin,,,,,
bookmark062,bookmark061,bookmark031_.jpg,image/jpeg,She said (Back),,,,,,,,,,,,,,,
bookmark063,,bookmark032.jpg,image/jpeg,Café Sōseki,,,,Open,35.70407221808767,139.72539544728238,"Shinjuku City, Tokyo, Japan",,,Anita Sheih,,,,,
bookmark064,bookmark063,bookmark032_.jpg,image/jpeg,Café Sōseki (Back),,,,,,,,,,,,,,,
